PRODUCTO;MARCA;CATEGORÍA;TONO;CANTIDAD;COSTO;$ DE VENTA;25%;GANANCIA
Delineador de labios;Karité;Labios;1;0; $ 600,00 ; $ 2.000,00 ;; $ 1.400,00 
;;;2;;;;;
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;7;;;;;
;;;8;;;;;
;;;;;;;;
Delineador de labios;4 Angels;Labios;1;; $ 500,00 ; $ 2.000,00 ;; $ 1.500,00 
;;;2;;;;;
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;7;;;;;
;;;8;;;;;
;;;;;;;;
Lip Balm Color Change;TEI;Labios;Único;; $ 1.350,00 ; $ 3.000,00 ; $ 750,00 ; $ 1.650,00 
;;;;;;; $ 3.750,00 ; $ 2.400,00 
;;;;;;;;
Lifter Glaze;TEI;Labios;1;; $ 1.800,00 ; $ 4.000,00 ; $ 1.000,00 ; $ 2.200,00 
;;;2;;;; $ 5.000,00 ; $ 3.200,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
Lifter Gloss;TEI;Labios;1;; $ 2.000,00 ; $ 4.500,00 ; $ 1.125,00 ; $ 2.500,00 
;;;2;;;; $ 5.625,00 ; $ 3.625,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
Vinyl Ink Matte Líquido;TEI;Labios;1;; $ 1.800,00 ; $ 4.000,00 ; $ 1.000,00 ; $ 2.200,00 
;;;2;;;; $ 5.000,00 ; $ 3.200,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
SuperStay Matte Líquido;TEI;Labios;1;; $ 1.950,00 ; $ 4.000,00 ; $ 1.000,00 ; $ 2.050,00 
;;;2;;;; $ 5.000,00 ; $ 3.050,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
Lip Stack 4 en 1;TEI;Labios;1;0; $ 1.600,00 ; $ 3.500,00 ; $ 875,00 ; $ 1.900,00 
;;;2;0;;; $ 4.375,00 ; $ 2.775,00 
;;;3;0;;;;
;;;;;;;;
Máscara 'Sky High';TEI;Pestañas;Rosa;; $ 1.750,00 ; $ 4.000,00 ; $ 1.000,00 ; $ 2.250,00 
;;;Negra;;;; $ 5.000,00 ; $ 3.250,00 
;;;;;;;;
Repuesto p/ Arqueador;x;Pestañas;Único;; - ; $ 1.000,00 ; - ; - 
;;;;;;;;
;;;;;;;;
Arqueador de Pestañas;-;Pestañas;Rosa Brillos;; $ 1.500,00 ; $ 3.500,00 ; $ 875,00 ; $ 2.000,00 
;;;Violeta Brillos;;;; $ 4.375,00 ; $ 2.875,00 
;;;Rosa Oscuro;;;;;
;;;;;;;;
Delineador Líquido;Ruby Rose;Delineador;Único;; $ 1.800,00 ; $ 4.000,00 ; $ 1.000,00 ; $ 2.200,00 
;;;;;;; $ 5.000,00 ; $ 3.200,00 
;;;;;;;;
Delineador Retráctil;-;Delineador;Único;; $ 210,00 ; $ 1.500,00 ; - ; $ 1.290,00 
;;;;;;;;
Iluminador & Contorno;TEI;Ilumin + Contorno;1;; $ 1.400,00 ; $ 3.500,00 ; $ 875,00 ; $ 2.100,00 
en barra;;;2;;;; $ 4.375,00 ; $ 2.975,00 
;;;3;;;;;
;;;;;;;;
Rubor en Barra;TEI;Rubor;1;; $ 1.700,00 ; $ 3.500,00 ; $ 875,00 ; $ 1.800,00 
cuadrado;;;2;;;; $ 4.375,00 ; $ 2.675,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
Rubor en Crema;PINK 21;Rubor;1;; $ 2.300,00 ; $ 4.800,00 ; $ 1.200,00 ; $ 2.500,00 
corazón;;;2;;;; $ 6.000,00 ; $ 3.700,00 
;;;3;;;;;
;;;4;;;;;
;;;;;;;;
Polvo Compacto 2 en 1;Rimera Quince;Bases y Correctores;1;; $ 2.350,00 ; $ 5.000,00 ; $ 1.250,00 ; $ 2.650,00 
;;;2;;;; $ 6.250,00 ; $ 3.900,00 
;;;;;;;;
Lip Balm Frutilla;TEI;Labios;Roja;; $ 1.200,00 ; $ 2.500,00 ; $ 625,00 ; $ 1.300,00 
Llavero;;;Rosa;;;; $ 3.125,00 ; $ 1.925,00 
;;;;;;;;
Máscara 'So Big Lashes';PINK 21;Pestañas;Único;; $ 1.400,00 ; $ 3.000,00 ; $ 750,00 ; $ 1.600,00 
;;;;;;; $ 3.750,00 ; $ 2.350,00 
;;;;;;;;
Iluminador & Contorno;TEI;Ilumin + Contorno;1;; $ 1.850,00 ; $ 3.500,00 ; $ 875,00 ; $ 1.650,00 
en polvo;;;2;;;; $ 4.375,00 ; $ 2.525,00 
;;;3;;;;;
;;;;;;;;
Lip Oil;PINK 21;Labios;1;; $ 1.450,00 ; $ 3.000,00 ; $ 750,00 ; $ 1.550,00 
;;;2;;;; $ 3.750,00 ; $ 2.300,00 
;;;3;;;;;
;;;4;;;;;
;;;;;;;;
Máscara 'Super Volume 2in1;PINK 21;Pestañas;Único;; $ 1.900,00 ; $ 4.000,00 ; $ 1.000,00 ; $ 2.100,00 
;;;;;;; $ 5.000,00 ; $ 3.100,00 
;;;;;;;;
Iluminador Líquido Multiuso;PINK 21;Iluminador;1;; $ 1.400,00 ; $ 3.500,00 ; $ 875,00 ; $ 2.100,00 
;;;2;;;; $ 4.375,00 ; $ 2.975,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
Base de Maquillaje Líquida;4 Angels;Bases y Correctores;1;; $ 1.350,00 ; $ 3.500,00 ; $ 875,00 ; $ 2.150,00 
;;;2;;;; $ 4.375,00 ; $ 3.025,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
Lip Oil ;TEI;Labios;Único;; $ 1.400,00 ; $ 3.000,00 ; $ 750,00 ; $ 1.600,00 
;;;;;;; $ 3.750,00 ; $ 2.350,00 
;;;;;;;;
Brillo Labial de Sabores;4 Angels;Labios;1;; $ 750,00 ; $ 2.500,00 ; $ 625,00 ; $ 1.750,00 
Roll On;;;2;;;; $ 3.125,00 ; $ 2.375,00 
;;;3;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
Gel Cejas/Pestañas;MELY;Pestañas + Cejas;Único;; $ 1.600,00 ; $ 3.500,00 ; $ 875,00 ; $ 1.900,00 
;;;;;;; $ 4.375,00 ; $ 2.775,00 
;;;;;;;;
Corrector Líquido Multiuso;4 Angels;Bases y Correctores;1;; $ 1.400,00 ; $ 3.500,00 ; $ 875,00 ; $ 2.100,00 
;;;2;;;; $ 4.375,00 ; $ 2.975,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
Rubor Líquido Pink Touch;PINK 21;Rubor;1;; $ 1.200,00 ; $ 2.500,00 ; $ 625,00 ; $ 1.300,00 
;;;2;;;; $ 3.125,00 ; $ 1.925,00 
;;;3;;;;;
;;;4;;;;;
;;;5;;;;;
;;;6;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
